original,new,reason
olist_sql/results/Q03.csv,results/Q03.csv,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
olist_sql/results/Q04.csv,results/Q04.csv,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
olist_sql/results/Q05.csv,results/Q05.csv,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
olist_sql/results/Q06.csv,results/Q06.csv,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
olist_sql/results/Q07.csv,results/Q07.csv,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
olist_sql/results/Q08.csv,results/Q08.csv,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
olist_sql/results/Q09.csv,results/Q09.csv,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
olist_sql/results/Q10.csv,results/Q10.csv,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
olist_sql/results/Q11.csv,results/Q11.csv,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
olist_sql/results/Q12.csv,results/Q12.csv,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
olist_sql/results/category_review_sensitivity.csv,results/category_review_sensitivity.csv,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
olist_sql/results/category_totals_cents.csv,results/category_totals_cents.csv,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
olist_sql/results/delivery_numerators.csv,results/delivery_numerators.csv,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
olist_sql/results/join_inflation_diagnostic.csv,results/join_inflation_diagnostic.csv,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
olist_sql/results/metrics.json,results/metrics.json,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
olist_sql/results/monthly_maturity.csv,results/monthly_maturity.csv,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
olist_sql/results/qa_checks.csv,evidence/original_execution/qa_checks.csv,"Historical timings/runtime/test evidence, distinct from this run."
olist_sql/results/query_execution.csv,evidence/original_execution/query_execution.csv,"Historical timings/runtime/test evidence, distinct from this run."
olist_sql/results/review_policy_sensitivity.csv,results/review_policy_sensitivity.csv,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
olist_sql/results/runtime.json,evidence/original_execution/runtime.json,"Historical timings/runtime/test evidence, distinct from this run."
olist_sql/results/unknown_categories.csv,results/unknown_categories.csv,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
olist_sql/results/window_sensitivity.csv,results/window_sensitivity.csv,Original verified aggregate bytes; full reconciliation/sensitivity evidence.
